t_ms i_pApF mV
52.1000000000058 -1.64358392645493 -75.3694177319023
52.1999999999971 -1.6087590497433 -75.3693607447273
52.3000000000029 -1.62368402978168 -75.3693037575523
52.3999999999942 -1.69830869983982 -75.3692467703773
52.5 -1.67343377146482 -75.3691897832023
52.6000000000058 -1.55403427635841 -75.3691327960273
52.6999999999971 -1.66845885482994 -75.3690758088523
52.8000000000029 -1.67343377146482 -75.3690188216773
52.8999999999942 -1.6087590497433 -75.3689618345023
53 -1.63860889475318 -75.3637760015781
53.1000000000058 -1.62865894641655 -75.3637190410681
53.1999999999971 -1.68338371980144 -75.3636620805581
53.3000000000029 -1.62368402978168 -75.3636051200481
53.3999999999942 -1.65353387479156 -75.3635481595381
53.5 -1.62368402978168 -75.3634911990281
53.6000000000058 -1.62865894641655 -75.3634342385181
53.6999999999971 -1.6087590497433 -75.3633772780081
53.8000000000029 -1.61870899807993 -75.3633203174981
53.8999999999942 -1.6087590497433 -75.3632633569881
54 -1.60378413310843 -75.3580799505781
54.1000000000058 -1.64358392645493 -75.35802302391
54.1999999999971 -1.62368402978168 -75.3579660972419
54.3000000000029 -1.61373408144505 -75.3579091705738
54.3999999999942 -1.61870899807993 -75.3578522439057
54.5 -1.6087590497433 -75.3577953172376
54.6000000000058 -1.56398422469504 -75.3577383905695
54.6999999999971 -1.57393417303166 -75.3576814639015
54.8000000000029 -1.63363397811831 -75.3576245372334
54.8999999999942 -1.65353387479156 -75.3575676105653
55 -1.63860889475318 -75.352387283769
55.1000000000058 -1.6087590497433 -75.3523303974876
55.1999999999971 -1.56398422469504 -75.3522735112061
55.3000000000029 -1.61870899807993 -75.3522166249247
55.3999999999942 -1.59880910140667 -75.3521597386432
55.5 -1.59880910140667 -75.3521028523617
55.6000000000058 -1.61373408144505 -75.3520459660803
55.6999999999971 -1.60378413310843 -75.3519890797988
55.8000000000029 -1.60378413310843 -75.3519321935174
